date,time,rate
10/1/2015,12:00:00 AM,0.01895
10/1/2015,1:00:00 AM,0.01377
10/1/2015,2:00:00 AM,0.01175
10/1/2015,3:00:00 AM,0.01195
10/1/2015,4:00:00 AM,0.01206
10/1/2015,5:00:00 AM,0.01547
10/1/2015,6:00:00 AM,0.02587
10/1/2015,7:00:00 AM,0.02615
10/1/2015,8:00:00 AM,0.02553
10/1/2015,9:00:00 AM,0.02467
10/1/2015,10:00:00 AM,0.02522
10/1/2015,11:00:00 AM,0.02364
10/1/2015,12:00:00 PM,0.02426
10/1/2015,1:00:00 PM,0.02349
10/1/2015,2:00:00 PM,0.02388
10/1/2015,3:00:00 PM,0.02318
10/1/2015,4:00:00 PM,0.02304
10/1/2015,5:00:00 PM,0.02314
10/1/2015,6:00:00 PM,0.02212
10/1/2015,7:00:00 PM,0.02581
10/1/2015,8:00:00 PM,0.02651
10/1/2015,9:00:00 PM,0.02359
10/1/2015,10:00:00 PM,0.02209
10/1/2015,11:00:00 PM,0.01764
10/2/2015,12:00:00 AM,0.01297
10/2/2015,1:00:00 AM,0.00946
10/2/2015,2:00:00 AM,0.00867
10/2/2015,3:00:00 AM,0.01061
10/2/2015,4:00:00 AM,0.01345
10/2/2015,5:00:00 AM,0.01861
10/2/2015,6:00:00 AM,0.02749
10/2/2015,7:00:00 AM,0.02421
10/2/2015,8:00:00 AM,0.02451
10/2/2015,9:00:00 AM,0.03123
10/2/2015,10:00:00 AM,0.02476
10/2/2015,11:00:00 AM,0.02345
10/2/2015,12:00:00 PM,0.02472
10/2/2015,1:00:00 PM,0.02398
10/2/2015,2:00:00 PM,0.02367
10/2/2015,3:00:00 PM,0.02261
10/2/2015,4:00:00 PM,0.02298
10/2/2015,5:00:00 PM,0.0225
10/2/2015,6:00:00 PM,0.02233
10/2/2015,7:00:00 PM,0.02213
10/2/2015,8:00:00 PM,0.02236
10/2/2015,9:00:00 PM,0.02177
10/2/2015,10:00:00 PM,0.01842
10/2/2015,11:00:00 PM,0.0142
10/3/2015,12:00:00 AM,0.01911
10/3/2015,1:00:00 AM,0.01756
10/3/2015,2:00:00 AM,0.01515
10/3/2015,3:00:00 AM,0.01476
10/3/2015,4:00:00 AM,0.01453
10/3/2015,5:00:00 AM,0.01548
10/3/2015,6:00:00 AM,0.02131
10/3/2015,7:00:00 AM,0.02076
10/3/2015,8:00:00 AM,0.02072
10/3/2015,9:00:00 AM,0.02606
10/3/2015,10:00:00 AM,0.0243
10/3/2015,11:00:00 AM,0.02694
10/3/2015,12:00:00 PM,0.02348
10/3/2015,1:00:00 PM,0.02336
